postcode,latitude,longitude
3583-vic,-35.500583,143.689528
3584-vic,-35.472878,143.681415
3585-vic,-35.438026,143.475265
3586-vic,-35.337801,143.619822
3587-vic,-12.4643506,130.842693
3588-vic,-35.290813,143.452216
3589-vic,-35.286272,143.454378
3590-vic,-35.223767,143.472711
3591-vic,-35.239944,143.38275
3592-vic,-12.4643506,130.842693
3593-vic,-12.4643506,130.842693
3594-vic,-35.171859,143.368983
3595-vic,-35.18351,143.335778
3596-vic,-35.126656,143.344852
3597-vic,-34.925135,143.176932
3598-vic,-12.4643506,130.842693
3599-vic,-34.723347,143.12460735
3600-vic,-12.4643506,130.842693
3601-vic,-12.4643506,130.842693
3602-vic,-12.4643506,130.842693
3603-vic,-37.1234583,144.856818
3604-vic,-12.4643506,130.842693
3605-vic,-12.4643506,130.842693
3606-vic,-12.4643506,130.842693
3607-vic,-36.846094,145.160803
3608-vic,-36.770881,145.082063
3609-vic,-12.4643506,130.842693
3610-vic,-36.589003,145.216477
3611-vic,-12.4643506,130.842693
3612-vic,-36.587762,145.037428
3613-vic,-36.4902694,145.3360156
3614-vic,-36.493598,145.323754
3615-vic,-12.4643506,130.842693
3616-vic,-36.438382,145.187642
3617-vic,-36.405348,145.112684
3618-vic,-36.368241,145.150153
3619-vic,-36.3093405,145.0442407
3620-vic,-36.296168,145.02101
3621-vic,-36.252618,144.967098
3622-vic,-36.23181,144.881023
3623-vic,-36.46278,144.941568
3624-vic,-36.39986,144.949637
3625-vic,-36.148813975,145.42905767916668
3626-vic,-12.4643506,130.842693
3627-vic,-12.4643506,130.842693
3628-vic,-38.484534608333334,142.98058969166667
3629-vic,-36.288165,145.254827
3630-vic,-36.377582,145.403533
3631-vic,-36.448828,145.503343
3632-vic,-12.4643506,130.842693
3633-vic,-36.294594,145.469107
3634-vic,-36.24204,145.466889
3635-vic,-36.159031,145.369672
3636-vic,-36.099021,145.506983
3637-vic,-35.942847,145.254828
3638-vic,-36.088165,145.122271
3639-vic,-35.957466,145.053898
3640-vic,-36.000356,145.498288
3641-vic,-35.907896,145.435158
3642-vic,-12.4643506,130.842693
3643-vic,-12.4643506,130.842693
3644-vic,-35.888295,145.650769
3645-vic,-12.4643506,130.842693
3646-vic,-36.292022,145.699014
3647-vic,-36.60091693333333,145.02007386666668
3648-vic,-12.4643506,130.842693
3649-vic,-36.075381,145.692006
3650-vic,-12.4643506,130.842693
3651-vic,-12.4643506,130.842693
3652-vic,-12.4643506,130.842693
3653-vic,-12.4643506,130.842693
3654-vic,-36.1446064,144.7284785
3655-vic,-12.4643506,130.842693
3656-vic,-12.4643506,130.842693
3657-vic,-12.4643506,130.842693
3658-vic,-37.243596,145.120701
3659-vic,-37.126675,145.151842
3660-vic,-37.054433,145.284247
3661-vic,-12.4643506,130.842693
3662-vic,-36.935692,144.948625
3663-vic,-36.909965,145.183238
3664-vic,-36.913391,145.32611
3665-vic,-36.815177,145.360777
3666-vic,-36.771349,145.560336
3667-vic,-12.4643506,130.842693
3668-vic,-12.4643506,130.842693
3669-vic,-36.587922,145.737112
3670-vic,-36.687161,145.88626
3671-vic,-12.4643506,130.842693
3672-vic,-36.578908,145.996768
3673-vic,-36.720204,146.116618
3674-vic,-12.4643506,130.842693
3675-vic,-36.575619,146.259919
3676-vic,-12.4643506,130.842693
3677-vic,-36.365561,146.313963
3678-vic,-36.588426,146.449622
3679-vic,-12.4643506,130.842693
3680-vic,-12.4643506,130.842693
3681-vic,-12.4643506,130.842693
3682-vic,-36.12763,146.398385
3683-vic,-36.178772,146.602903
3684-vic,-12.4643506,130.842693
3685-vic,-36.027078,146.505202
3686-vic,-12.4643506,130.842693
3687-vic,-36.013818,146.401098
3688-vic,-36.132039,146.699798
3689-vic,-12.4643506,130.842693
3690-vic,-36.118585,146.88575
3691-vic,-36.288277,147.018937
3692-vic,-12.4643506,130.842693
3693-vic,-12.4643506,130.842693
3694-vic,-36.145919,146.932912
3695-vic,-36.358473,147.107605
3696-vic,-12.4643506,130.842693
3697-vic,-36.714103,147.193821
3698-vic,-36.734432,147.152597
3699-vic,-36.777891,147.208476
3701-vic,-36.49785,147.425246
3702-vic,-12.4643506,130.842693
3703-vic,-38.6047631,145.5892389
3704-vic,-36.153817,147.479411
3705-vic,-36.184315,147.657659
3706-vic,-12.4643506,130.842693
3707-vic,-36.426635,147.925302
3708-vic,-36.057846,147.910975
3709-vic,-36.039207,147.667471
3710-vic,-12.4643506,130.842693
3711-vic,-37.422093,145.706991
3712-vic,-37.269647,145.812103
3713-vic,-37.388251,145.94097
3714-vic,-37.227094,145.729808
3715-vic,-36.989047,145.754083
3716-vic,-12.4643506,130.842693
3717-vic,-37.316005,145.469126
3718-vic,-37.163243,145.51859
3719-vic,-37.074581,145.633185
3720-vic,-37.017092,145.880888
3721-vic,-12.4643506,130.842693
3722-vic,-37.049845,146.049483
3723-vic,-37.240402,146.280078
3724-vic,-12.4643506,130.842693
3725-vic,-36.418626,145.940497
3726-vic,-36.374696,146.002916
3727-vic,-36.198369,145.893792
3728-vic,-36.150247,146.043539
3729-vic,-12.4643506,130.842693
3730-vic,-36.058082,145.98138
3731-vic,-12.4643506,130.842693
3732-vic,-36.594719,146.364412
3733-vic,-36.780131,146.329817
3734-vic,-12.4643506,130.842693
3735-vic,-36.562751,146.59581
3736-vic,-37.8662587,145.0936463
3737-vic,-36.809824,146.785182
3738-vic,-36.597126,146.784094
3739-vic,-36.627444,146.825027
3740-vic,-36.786629,146.935766
3741-vic,-37.001847,147.124451
3742-vic,-12.4643506,130.842693
3743-vic,-12.4643506,130.842693
3744-vic,-36.773726,146.983406
3745-vic,-12.4643506,130.842693
3746-vic,-36.310121,146.520958
3747-vic,-36.342206,146.714709
3748-vic,-36.5334763,145.028756
3749-vic,-36.356646,146.867322
3750-vic,-37.596603,145.000925
3751-vic,-37.54251,145.029072
3752-vic,-37.631663,145.083637
3753-vic,-37.479857,145.013448
3754-vic,-37.594866,145.117091
3755-vic,-37.546006,145.128581
3756-vic,-37.432276,144.942074
3757-vic,-37.4748,145.222477
3758-vic,-37.361963,144.991091
3759-vic,-37.644255,145.247669
3760-vic,-37.627001,145.288345
3761-vic,-37.583255,145.28738
3762-vic,-37.349469,144.942553
3763-vic,-37.552705,145.345949
3764-vic,-37.260295,144.923512
3765-vic,-37.811136,145.347947
3766-vic,-37.819375,145.372127
3767-vic,-37.832134,145.355106
